# This file is part of the Soletta Project
#
# Copyright (C) 2015 Intel Corporation. All rights reserved.
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

# initial state
7 21:00 EnvTemperature 17

### Tuesday ###

8 07:12 EnvTemperature 18
8 07:30 END_EXPECTATIONS #off_state2
8 07:35 User Bruno
8 07:36 HeartRate Awake
8 07:36 BodyTemperature 37.2

8 07:37 BEGIN_EXPECTATIONS shower2
8 07:37 WaterVolume 65
8 07:37 WaterTemperature 60
8 07:37 EXP_WaterVolume 65
8 07:37 EXP_WaterTemperature 60
8 07:37 END_EXPECTATIONS #shower2

8 07:51 WaterVolume 0
8 07:51 WaterTemperature 18
8 07:51 EXP_WaterVolume 0
8 07:51 EXP_WaterTemperature 18
8 07:51 User Nobody

8 08:30 EnvTemperature 23

8 13:14 EnvTemperature 29

8 21:15 EnvTemperature 18

### Wednesday ###

9 07:12 EnvTemperature 14
9 08:03 User Bruno
9 08:03 HeartRate Awake
9 08:03 BodyTemperature 37.3

9 08:03 BEGIN_EXPECTATIONS shower3
9 08:03 WaterVolume 52
9 08:03 WaterTemperature 63
9 08:03 EXP_WaterVolume 52
9 08:03 EXP_WaterTemperature 63
9 08:03 END_EXPECTATIONS #shower2

9 08:10 WaterVolume 0
9 08:10 WaterTemperature 14
9 08:10 EXP_WaterVolume 0
9 08:10 EXP_WaterTemperature nan
9 08:10 User Nobody
9 08:10 BEGIN_EXPECTATIONS off_state3

9 08:30 EnvTemperature 20
9 12:00 EnvTemperature 23
9 21:00 EnvTemperature 25

### Thursday ###

10 08:30 EnvTemperature 25
10 10:00 END_EXPECTATIONS #off_state3

10 10:03 BEGIN_EXPECTATIONS shower4
10 10:03 User Bruno
10 10:03 HeartRate Awake
10 10:03 BodyTemperature 37.4
10 10:03 WaterVolume 66
10 10:03 WaterTemperature 63
10 10:03 EXP_WaterVolume 66
10 10:03 EXP_WaterTemperature 63
10 10:03 END_EXPECTATIONS #shower4

10 10:03 WaterTemperature 30
10 10:03 EXP_WaterTemperature 30

10 10:20 WaterVolume 0
10 10:20 WaterTemperature 14
10 10:20 EXP_WaterVolume 0
10 10:20 EXP_WaterTemperature 14
10 10:20 User Nobody

10 12:15 EnvTemperature 34


10 19:03 BEGIN_EXPECTATIONS night_shower
10 19:03 User Bruno
10 19:03 HeartRate Awake
10 19:03 BodyTemperature 37.4
10 19:03 WaterVolume nan
10 19:03 WaterTemperature nan
10 19:03 EXP_WaterVolume 66
10 19:03 EXP_WaterTemperature 63
10 19:03 END_EXPECTATIONS #night_shower

10 20:00 WaterVolume 0
10 20:00 WaterTemperature 0
10 20:00 User Nobody
10 21:00 EnvTemperature 27

### Friday ###

11 07:10 EnvTemperature 8

11 08:12 BEGIN_EXPECTATIONS long_shower
11 08:12 User Bruno
11 08:12 HeartRate Awake
11 08:12 BodyTemperature 37.0
11 08:12 WaterVolume 60
11 08:12 WaterTemperature 80
11 08:12 EXP_WaterVolume 60
11 08:12 EXP_WaterTemperature 80

11 08:40 EnvTemperature 13
11 08:50 EnvTemperature 20
11 09:10 EnvTemperature 25
11 09:20 EnvTemperature 30
11 09:40 EnvTemperature 25
11 10:00 EnvTemperature 20
11 10:10 EnvTemperature 10

11 10:20 END_EXPECTATIONS #long_shower

11 10:30 WaterVolume 0
11 10:30 WaterTemperature 8
11 10:30 EXP_WaterVolume 0
11 10:30 EXP_WaterTemperature 8
11 10:30 User Nobody

11 12:00 EnvTemperature 15

11 17:00 EnvTemperature 12

### Saturday ###

12 07:24 EnvTemperature 18
12 11:48 EnvTemperature 23
12 15:07 EnvTemperature 28
12 19:12 EnvTemperature 20
12 23:33 EnvTemperature 12

### Sunday ###

13 08:19 EnvTemperature 20
13 13:10 EnvTemperature 31
13 16:22 EnvTemperature 27
13 21:00 EnvTemperature 21
