# This file is part of the Soletta Project
#
# Copyright (C) 2015 Intel Corporation. All rights reserved.
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

#Mon
26 13:00 EnvLight PartlyCloudy
26 13:00 Light OFF
26 13:00 EXP_Light OFF

26 20:00 EnvLight Night
26 20:00 EXP_Light OFF
26 20:00 Light OFF

#Sun
27 0:00 BEGIN_EXPECTATIONS vacation_last_day
27 0:00 EnvLight Night
27 0:00 Light OFF
27 0:00 EXP_Light OFF

27 7:23 EnvLight PartlySunny
27 7:23 Light OFF
27 7:23 EXP_Light OFF

27 9:00 EnvLight Sunny
27 9:00 Light OFF
27 9:00 EXP_Light OFF

27 13:00 EnvLight PartlyCloudy
27 13:00 Light OFF
27 13:00 EXP_Light OFF

27 20:00 EnvLight Night
27 20:00 Light OFF
27 20:00 Light OFF
27 23:59 END_EXPECTATIONS

#End vacation

#Mon
28 0:00 BEGIN_EXPECTATIONS after_vacations
28 0:00 EnvLight Night
28 0:00 Light ON
28 0:00 EXP_Light ON

28 7:23 EnvLight PartlySunny
28 7:23 Light OFF
28 7:23 EXP_Light OFF

28 9:00 EnvLight Cloudy
28 9:00 Light ON
28 9:00 EXP_Light ON

28 13:00 EnvLight PartlyCloudy
28 13:00 Light OFF
28 13:00 EXP_Light OFF

28 20:00 EnvLight Night
28 20:00 EXP_Light ON
28 20:00 Light ON
28 23:59 END_EXPECTATIONS

#Tue
29 0:00 BEGIN_EXPECTATIONS after_vacations2
29 7:23 EnvLight PartlySunny
29 7:23 Light OFF
29 7:23 EXP_Light OFF

29 9:00 EnvLight Cloudy
29 9:00 Light ON
29 9:00 EXP_Light ON

29 13:00 EnvLight PartlyCloudy
29 13:00 Light OFF
29 13:00 EXP_Light OFF

29 20:00 EnvLight Night
29 20:00 EXP_Light ON
29 20:00 Light ON
29 23:59 END_EXPECTATIONS

#Wed
30 0:00 EnvLight Night
30 0:00 Light ON
30 0:00 EXP_Light ON

30 7:23 EnvLight PartlySunny
30 7:23 Light OFF
30 7:23 EXP_Light OFF

30 9:00 EnvLight Sunny
30 9:00 Light OFF
30 9:00 EXP_Light OFF

30 13:00 EnvLight PartlyCloudy
30 13:00 Light OFF
30 13:00 EXP_Light OFF

30 20:00 EnvLight Night
30 20:00 EXP_Light ON
30 20:00 Light ON

#Thu
31 0:00 EnvLight Night
31 0:00 Light ON
31 0:00 EXP_Light ON

31 7:23 EnvLight PartlySunny
31 7:23 Light OFF
31 7:23 EXP_Light OFF

31 9:00 EnvLight Sunny
31 9:00 Light OFF
31 9:00 EXP_Light OFF

31 13:00 EnvLight PartlyCloudy
31 13:00 Light OFF
31 13:00 EXP_Light OFF

31 20:00 EnvLight Night
31 20:00 EXP_Light ON
31 20:00 Light ON

#Fri
32 0:00 EnvLight Night
32 0:00 Light ON
32 0:00 EXP_Light ON

32 7:23 EnvLight PartlySunny
32 7:23 Light OFF
32 7:23 EXP_Light OFF

32 9:00 EnvLight Sunny
32 9:00 Light OFF
32 9:00 EXP_Light OFF

32 13:00 EnvLight PartlyCloudy
32 13:00 Light OFF
32 13:00 EXP_Light OFF

32 20:00 EnvLight Night
32 20:00 EXP_Light ON
32 20:00 Light ON

#Sat
33 0:00 EnvLight Night
33 0:00 Light ON
33 0:00 EXP_Light ON

33 7:23 EnvLight PartlySunny
33 7:23 Light OFF
33 7:23 EXP_Light OFF

33 9:00 EnvLight Cloudy
33 9:00 Light ON
33 9:00 EXP_Light ON

33 13:00 EnvLight PartlyCloudy
33 13:00 Light OFF
33 13:00 EXP_Light OFF

33 20:00 EnvLight Night
33 20:00 EXP_Light ON
33 20:00 Light ON

#Sun
34 0:00 BEGIN_EXPECTATIONS after_vacations3
34 0:00 EnvLight Night
34 0:00 Light ON
34 0:00 EXP_Light ON

34 7:23 EnvLight PartlySunny
34 7:23 Light OFF
34 7:23 EXP_Light OFF

34 9:00 EnvLight Sunny
34 9:00 Light OFF
34 9:00 EXP_Light OFF

34 13:00 EnvLight PartlyCloudy
34 13:00 Light OFF
34 13:00 EXP_Light OFF

34 20:00 EnvLight Night
34 20:00 EXP_Light ON
34 20:00 Light ON
34 23:59 END_EXPECTATIONS
