# This file is part of the Soletta Project
#
# Copyright (C) 2015 Intel Corporation. All rights reserved.
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

# initial state
0 0:00 BEGIN_EXPECTATIONS
8 8:11 MindState Annoyed
8 8:11 BodyState Healthy

8 8:15 ProgramType News
8 8:15 EXP_ProgramType Cartoon
8 8:15 ProgramGenre None
8 8:15 EXP_ProgramGenre None

8 8:30 EnvTemperature 21

8 8:30 User Nobody
8 8:30 ProgramType None
8 8:30 EXP_ProgramType None
8 8:30 ProgramGenre None
8 8:30 EXP_ProgramGenre None

8 12:00 EnvTemperature 22

8 19:30 EnvTemperature 17

8 19:52 User Bruno
8 19:54 MindState Sad
8 19:54 BodyState Exhausted

8 20:13 ProgramType Cartoon
8 20:13 EXP_ProgramType News
8 20:13 ProgramGenre None
8 20:13 EXP_ProgramGenre None

8 20:30 ProgramType Movie
8 20:30 EXP_ProgramType Movie
8 20:30 ProgramGenre Romance
8 20:30 EXP_ProgramGenre Romance

8 21:30 EnvTemperature 15

### Wednesday ###
9 02:05 User Nobody
9 02:05 ProgramType None
9 02:05 EXP_ProgramType None
9 02:05 ProgramGenre None
9 02:05 EXP_ProgramGenre None

9 8:00 EnvTemperature 19
9 8:03 User Bruno
9 8:05 MindState Neutral
9 8:07 BodyState Healthy

9 8:10 ProgramType Movie
9 8:10 EXP_ProgramType News
9 8:10 ProgramGenre Romance
9 8:10 EXP_ProgramGenre None

9 8:30 EnvTemperature 21

9 8:30 User Nobody
9 8:30 ProgramType None
9 8:30 EXP_ProgramType None
9 8:30 ProgramGenre None
9 8:30 EXP_ProgramGenre None

9 12:00 EnvTemperature 24

9 19:30 EnvTemperature 20

9 19:39 User Bruno
9 19:41 MindState Sad
9 19:41 BodyState Exhausted

9 19:45 ProgramType News
9 19:45 EXP_ProgramType News
9 19:45 ProgramGenre None
9 19:45 EXP_ProgramGenre None

9 20:30 User Nobody
9 20:30 ProgramType None
9 20:30 EXP_ProgramType None
9 20:30 ProgramGenre None
9 20:30 EXP_ProgramGenre None

9 21:00 EnvTemperature 18

### Thursday ###
10 7:30 EnvTemperature 17
10 7:35 User Bruno
10 7:37 MindState Neutral
10 7:38 BodyState Healthy

10 7:43 ProgramType News
10 7:43 EXP_ProgramType News
10 7:43 ProgramGenre None
10 7:43 EXP_ProgramGenre None

10 8:00 EnvTemperature 18

10 8:05 User Nobody
10 8:05 ProgramType None
10 8:05 EXP_ProgramType None
10 8:05 ProgramGenre None
10 8:05 EXP_ProgramGenre None

10 12:00 EnvTemperature 23

10 19:00 EnvTemperature 20

10 19:15 User Bruno
10 19:15 MindState Sad
10 19:15 BodyState Exhausted

10 20:00 ProgramType News
10 20:00 EXP_ProgramType News
10 20:00 ProgramGenre None
10 20:00 EXP_ProgramGenre None

10 21:00 ProgramType Movie
10 21:00 EXP_ProgramType Movie
10 21:00 ProgramGenre Comedy
10 21:00 EXP_ProgramGenre Comedy

10 20:30 User Nobody
10 20:30 ProgramType None
10 20:30 EXP_ProgramType None
10 20:30 ProgramGenre None
10 20:30 EXP_ProgramGenre None

10 21:00 EnvTemperature 17

### Friday ###
11 8:00 EnvTemperature 19
11 8:02 User Bruno
11 8:04 MindState Annoyed
11 8:05 BodyState Healthy

11 8:43 ProgramType Movie       
11 8:43 EXP_ProgramType News
11 8:43 ProgramGenre Comedy
11 8:43 EXP_ProgramGenre None

11 9:00 EnvTemperature 18

11 9:05 User Nobody
11 9:05 ProgramType None
11 9:05 EXP_ProgramType None
11 9:05 ProgramGenre None
11 9:05 EXP_ProgramGenre None

11 12:00 EnvTemperature 23

11 19:00 EnvTemperature 16

11 20:15 User Bruno
11 20:15 MindState Happy
11 20:15 BodyState Exhausted

11 21:30 ProgramType News
11 21:30 EXP_ProgramType Movie
11 21:30 ProgramGenre None
11 21:30 EXP_ProgramGenre Drama

11 22:30 User Nobody
11 22:30 ProgramType None
11 22:30 EXP_ProgramType None
11 22:30 ProgramGenre None
11 22:30 EXP_ProgramGenre None

### Saturday ###
12 8:00 EnvTemperature 16

12 12:00 EnvTemperature 22

12 16:00 EnvTemperature 18

12 20:00 EnvTemperature 17

12 21:02 User Bruno
12 21:04 MindState Annoyed
12 21:05 BodyState Healthy

12 21:43 ProgramType Movie
12 21:43 EXP_ProgramType Series
12 21:43 ProgramGenre Drama
12 21:43 EXP_ProgramGenre Drama

12 23:30 User Nobody
12 23:30 ProgramType None
12 23:30 EXP_ProgramType None
12 23:30 ProgramGenre None
12 23:30 EXP_ProgramGenre None

### Sunday ###
13 8:00 EnvTemperature 15
13 15:02 User Bruno
13 15:04 MindState Annoyed
13 15:05 BodyState Tired

13 10:00 EnvTemperature 18

13 12:00 EnvTemperature 20

13 15:30 ProgramType Series
13 15:30 EXP_ProgramType Sports
13 15:30 ProgramGenre None
13 15:30 EXP_ProgramGenre None

13 17:00 EnvTemperature 18

13 17:30 User Nobody
13 17:30 ProgramType None
13 17:30 EXP_ProgramType None
13 17:30 ProgramGenre None
13 17:30 EXP_ProgramGenre None

13 23:59 END_EXPECTATIONS
